Code,1.1,1.1.1,1.1.1.1,1.1.1.2,1.1.1.2.1,1.1.1.2.2,1.1.1.2.3,1.1.1.3,1.1.1.4,1.1.1.4.1,1.1.1.4.2,1.1.1.4.3,1.1.1.5,1.1.1.5.1,1.1.1.5.2,1.1.1.6,1.1.1.6.1,1.1.1.6.2,1.1.1.7,1.1.1.8,1.1.2,1.1.2.1,1.1.2.1.1,1.1.2.1.2,1.1.2.1.3,1.1.2.1.4,1.1.2.1.5,1.1.2.1.6,1.1.2.2,1.1.2.2.1,1.1.2.2.1.1,1.1.2.2.1.1.1,1.1.2.2.1.1.2,1.1.2.2.1.1.3,1.1.2.2.1.1.3.1,1.1.2.2.1.1.3.2,1.1.2.2.1.1.3.3,1.1.2.2.1.1.3.4,1.1.2.2.1.2,1.1.2.2.2,1.1.2.2.3,1.1.2.2.4,1.1.2.2.5,1.1.2.2.6,1.1.2.2.7,1.1.2.3,1.1.2.4,1.1.2.5,1.1.2.6,1.1.2.7,1.1.2.8,1.2,1.2.1,1.2.1.1,1.2.1.2,1.2.1.3,1.2.1.4,1.2.1.5,1.2.1.6,1.2.1.7,1.2.2,1.2.2.1,1.2.2.2,1.2.2.3,1.2.2.4,2.1,2.1.1,2.1.1.1,2.1.1.2,2.1.1.3,2.1.1.4,2.1.1.5,2.1.1.6,2.1.1.7,2.1.2,2.1.2.1,2.1.2.2,2.1.2.3,2.1.2.4,2.1.2.5,2.1.2.6,2.2,2.2.1,2.2.1.1,2.2.1.2,2.2.1.3,2.2.1.4,2.2.1.5,2.2.1.6,2.2.1.7,2.2.2,2.2.2.1,2.2.2.2,2.2.2.3,2.2.2.4,2.2.2.5,2.2.2.6,2.2.3,2.2.3.1,2.2.3.2,2.2.3.3,2.2.3.4,3.1,3.1.1,3.1.2,3.1.3,3.1.4,3.1.5,3.1.6,3.2,3.2.1,3.2.2,3.2.2.1,3.2.2.2,3.2.2.3,3.2.2.4,3.2.3,3.2.4,3.2.5,3.3,3.3.1,3.3.2,3.3.3,3.3.4,3.3.5,3.3.5.1,3.3.5.2,3.3.5.3,3.3.5.4,3.3.6,3.3.6.1,3.3.6.2,3.3.6.3,3.3.6.4,3.3.6.5,3.3.6.6
000199_000009_008707562,0,0,0,0,0,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,10,8,0,0,0,0,10,0,9,0,0,0,0,0,0,0,0,0,0,10,0,0,0,9,0,0,0,10,8,9,0,0,0,0,0,8,0,0,0,0,0,0,0,9,10,0,8,0,0,0,0,0,0,0,9,7,0,0,0,0,0,9,0,0,7,0,0,9,10,0,0,9,7,0,9,0,10,0,0,0,0,9,0,0,0,0,0
000199_000009_008709030,0,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,5,5,0,9,0,0,0,0,0,0,0,0,0,7,10,4,0,10,10,0,0,0,3,3,3,0,0,3,5,0,1,0,0,10,9,0,0,4,0,10,5,10,0,0,0,0,3,0,7,0,0,10,8,8,10,8,9,7,0,3,10,8,9,3,7,0,0,3,1,7,7,5,6,0,0,9,7,3,0,0,6,0,4,6,0,0,0,10,9,6,9,8,5,0,10,0,10,5,6,7,10,1,7,0,9,7,4,7,0,9,8,9,3,0,6,3,0,0,7,0
000199_000009_008717938,0,0,3,0,10,1,0,0,0,0,0,0,0,0,0,0,6,0,9,0,0,0,0,0,0,0,0,6,0,0,0,5,6,0,0,0,0,0,5,6,7,0,0,0,5,4,10,0,0,10,9,0,0,10,0,6,7,8,0,0,0,0,2,0,3,0,0,8,10,9,10,7,10,9,0,6,8,10,10,7,8,0,0,3,10,9,8,5,7,0,0,5,6,4,0,0,7,0,5,10,8,6,0,7,8,7,10,9,7,0,8,10,10,10,10,10,4,9,8,0,10,7,8,9,0,9,10,0,0,0,7,0,0,0,6,0
000199_000009_008705443,0,0,0,0,0,0,0,0,10,9,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,7,5,0,10,7,0,0,3,0,10,0,9,0,0,0,0,0,0,0,0,0,9,10,9,9,7,9,9,0,6,8,8,9,9,7,0,0,2,0,8,8,7,8,0,0,6,7,7,0,0,7,0,2,6,8,0,0,9,8,0,9,7,9,0,9,0,9,6,8,6,9,0,0,0,10,10,0,0,0,8,6,9,8,0,0,0,0,5,10,0
000199_000009_008718032,0,0,0,0,0,0,0,0,10,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,8,6,0,0,0,0,10,0,7,10,3,0,0,0,0,0,0,0,8,10,7,8,7,6,9,0,4,8,9,5,4,7,0,0,3,0,0,5,0,0,10,0,3,0,0,0,0,0,0,6,3,4,3,0,7,5,0,0,6,6,0,10,0,0,0,0,0,9,5,0,0,7,6,0,0,0,10,0,5,0,0,0,0,0,9,7,6
000199_000009_008719044,0,0,0,0,0,7,0,5,6,0,0,0,0,0,0,0,6,0,8,6,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,9,0,0,0,8,5,6,6,7,6,10,0,0,0,0,0,0,0,7,9,0,10,10,8,7,0,6,0,8,0,0,0,0,0,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,6,0,0,0,0,8,7,0,0,7,7,0,10,0,0,0,0,0,9,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,9,0,5
000199_000009_008708985,0,0,0,0,5,0,0,0,0,10,0,5,0,0,0,0,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,8,0,10,7,0,0,9,0,10,6,9,0,0,0,0,0,0,0,0,0,8,10,10,7,0,9,6,0,0,9,9,10,10,0,0,0,0,7,7,5,0,5,7,0,7,5,0,0,5,0,0,0,7,0,0,0,9,8,0,8,8,7,0,9,0,7,7,7,7,10,7,7,0,10,10,7,8,0,10,9,0,0,0,0,0,0,8,0,8
000199_000009_008704988,0,0,0,0,0,0,0,0,10,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,0,10,9,0,0,0,0,4,6,0,3,0,0,0,0,0,0,10,7,0,0,0,0,10,3,4,0,0,0,0,0,0,0,0,0,9,10,6,8,9,9,10,0,5,10,10,10,3,7,0,0,5,9,9,8,8,9,0,0,5,8,7,0,0,6,0,3,7,0,7,0,10,8,9,10,9,8,0,10,9,9,7,8,7,10,6,7,0,9,7,0,10,0,7,0,0,0,0,8,0,0,0,8,0
000199_000009_009887888,0,0,0,10,0,0,9,0,5,0,0,0,0,0,0,6,7,6,9,0,0,0,0,2,2,2,3,0,0,0,0,2,0,0,0,0,0,0,10,8,4,3,3,5,0,0,0,0,0,7,9,0,0,10,0,4,5,8,0,0,0,0,2,3,0,0,0,8,8,10,9,8,7,8,0,4,0,10,9,9,5,0,0,0,6,9,0,2,7,0,0,7,0,3,0,0,0,0,0,0,0,0,0,7,6,0,7,6,8,0,7,0,5,4,4,6,0,0,8,0,7,9,4,0,0,7,8,9,10,0,4,6,6,0,0,0
000199_000009_008709312,0,0,2,0,10,0,0,0,10,9,0,0,0,3,0,0,0,0,0,3,0,0,2,2,2,2,0,2,0,10,9,10,0,7,6,0,0,0,8,6,2,0,2,2,2,0,2,0,2,10,7,0,0,10,0,10,8,10,0,0,0,0,1,0,0,0,0,9,0,8,10,9,8,9,0,3,10,4,7,10,7,0,0,2,0,7,0,7,7,0,0,9,6,0,0,0,0,0,8,9,0,0,0,9,8,0,0,5,9,0,9,0,10,6,0,4,10,0,0,0,9,10,8,0,0,10,5,0,7,0,7,0,0,0,10,0
